Województwo,Powiat,Miejscowość,Kod pocztowy
mazowieckie,Warszawa,Warszawa,00-002
mazowieckie,Warszawa,Warszawa,00-003
mazowieckie,Warszawa,Warszawa,00-004
mazowieckie,Warszawa,Warszawa,00-005
mazowieckie,Warszawa,Warszawa,00-006
mazowieckie,Warszawa,Warszawa,00-007
mazowieckie,Warszawa,Warszawa,00-008
mazowieckie,Warszawa,Warszawa,00-009
mazowieckie,Warszawa,Warszawa,00-009
mazowieckie,Warszawa,Warszawa,00-010
mazowieckie,Warszawa,Warszawa,00-011
mazowieckie,Warszawa,Warszawa,00-011
mazowieckie,Warszawa,Warszawa,00-012
mazowieckie,Warszawa,Warszawa,00-013
mazowieckie,Warszawa,Warszawa,00-014
mazowieckie,Warszawa,Warszawa,00-015
mazowieckie,Warszawa,Warszawa,00-017
mazowieckie,Warszawa,Warszawa,00-018
mazowieckie,Warszawa,Warszawa,00-019
mazowieckie,Warszawa,Warszawa,00-020
mazowieckie,Warszawa,Warszawa,00-020
mazowieckie,Warszawa,Warszawa,00-021
mazowieckie,Warszawa,Warszawa,00-022
mazowieckie,Warszawa,Warszawa,00-023
mazowieckie,Warszawa,Warszawa,00-024
mazowieckie,Warszawa,Warszawa,00-025
mazowieckie,Warszawa,Warszawa,00-026
mazowieckie,Warszawa,Warszawa,00-026
mazowieckie,Warszawa,Warszawa,00-027
mazowieckie,Warszawa,Warszawa,00-028
mazowieckie,Warszawa,Warszawa,00-029
mazowieckie,Warszawa,Warszawa,00-030
mazowieckie,Warszawa,Warszawa,00-031
mazowieckie,Warszawa,Warszawa,00-032
mazowieckie,Warszawa,Warszawa,00-033
mazowieckie,Warszawa,Warszawa,00-034
mazowieckie,Warszawa,Warszawa,00-035
mazowieckie,Warszawa,Warszawa,00-036
mazowieckie,Warszawa,Warszawa,00-037
mazowieckie,Warszawa,Warszawa,00-038
mazowieckie,Warszawa,Warszawa,00-039
mazowieckie,Warszawa,Warszawa,00-040
mazowieckie,Warszawa,Warszawa,00-041
mazowieckie,Warszawa,Warszawa,00-042
mazowieckie,Warszawa,Warszawa,00-043
mazowieckie,Warszawa,Warszawa,00-044
mazowieckie,Warszawa,Warszawa,00-044
mazowieckie,Warszawa,Warszawa,00-046
mazowieckie,Warszawa,Warszawa,00-047
mazowieckie,Warszawa,Warszawa,00-048
mazowieckie,Warszawa,Warszawa,00-049
mazowieckie,Warszawa,Warszawa,00-050
mazowieckie,Warszawa,Warszawa,00-051
mazowieckie,Warszawa,Warszawa,00-052
mazowieckie,Warszawa,Warszawa,00-052
mazowieckie,Warszawa,Warszawa,00-054
mazowieckie,Warszawa,Warszawa,00-055
mazowieckie,Warszawa,Warszawa,00-056
mazowieckie,Warszawa,Warszawa,00-057
mazowieckie,Warszawa,Warszawa,00-058
mazowieckie,Warszawa,Warszawa,00-059
mazowieckie,Warszawa,Warszawa,00-061
mazowieckie,Warszawa,Warszawa,00-062
mazowieckie,Warszawa,Warszawa,00-062
mazowieckie,Warszawa,Warszawa,00-063
mazowieckie,Warszawa,Warszawa,00-064
mazowieckie,Warszawa,Warszawa,00-065
mazowieckie,Warszawa,Warszawa,00-066
mazowieckie,Warszawa,Warszawa,00-067
mazowieckie,Warszawa,Warszawa,00-067
mazowieckie,Warszawa,Warszawa,00-068
mazowieckie,Warszawa,Warszawa,00-068
mazowieckie,Warszawa,Warszawa,00-070
mazowieckie,Warszawa,Warszawa,00-071
mazowieckie,Warszawa,Warszawa,00-072
mazowieckie,Warszawa,Warszawa,00-073
mazowieckie,Warszawa,Warszawa,00-074
mazowieckie,Warszawa,Warszawa,00-075
mazowieckie,Warszawa,Warszawa,00-076
mazowieckie,Warszawa,Warszawa,00-077
mazowieckie,Warszawa,Warszawa,00-078
mazowieckie,Warszawa,Warszawa,00-079
mazowieckie,Warszawa,Warszawa,00-080
mazowieckie,Warszawa,Warszawa,00-082
mazowieckie,Warszawa,Warszawa,00-083
mazowieckie,Warszawa,Warszawa,00-084
mazowieckie,Warszawa,Warszawa,00-085
mazowieckie,Warszawa,Warszawa,00-086
mazowieckie,Warszawa,Warszawa,00-087
mazowieckie,Warszawa,Warszawa,00-088
mazowieckie,Warszawa,Warszawa,00-089
mazowieckie,Warszawa,Warszawa,00-090
mazowieckie,Warszawa,Warszawa,00-091
mazowieckie,Warszawa,Warszawa,00-092
mazowieckie,Warszawa,Warszawa,00-093
mazowieckie,Warszawa,Warszawa,00-094
mazowieckie,Warszawa,Warszawa,00-095
mazowieckie,Warszawa,Warszawa,00-095
mazowieckie,Warszawa,Warszawa,00-097
mazowieckie,Warszawa,Warszawa,00-098
mazowieckie,Warszawa,Warszawa,00-099
mazowieckie,Warszawa,Warszawa,00-100
mazowieckie,Warszawa,Warszawa,00-102
mazowieckie,Warszawa,Warszawa,00-103
mazowieckie,Warszawa,Warszawa,00-104
mazowieckie,Warszawa,Warszawa,00-105
mazowieckie,Warszawa,Warszawa,00-107
mazowieckie,Warszawa,Warszawa,00-108
mazowieckie,Warszawa,Warszawa,00-108
mazowieckie,Warszawa,Warszawa,00-109
mazowieckie,Warszawa,Warszawa,00-110
mazowieckie,Warszawa,Warszawa,00-110
mazowieckie,Warszawa,Warszawa,00-110
mazowieckie,Warszawa,Warszawa,00-112
mazowieckie,Warszawa,Warszawa,00-112
mazowieckie,Warszawa,Warszawa,00-113
mazowieckie,Warszawa,Warszawa,00-114
mazowieckie,Warszawa,Warszawa,00-115
mazowieckie,Warszawa,Warszawa,00-116
mazowieckie,Warszawa,Warszawa,00-116
mazowieckie,Warszawa,Warszawa,00-117
mazowieckie,Warszawa,Warszawa,00-117
mazowieckie,Warszawa,Warszawa,00-118
mazowieckie,Warszawa,Warszawa,00-119
mazowieckie,Warszawa,Warszawa,00-120
mazowieckie,Warszawa,Warszawa,00-121
mazowieckie,Warszawa,Warszawa,00-123
mazowieckie,Warszawa,Warszawa,00-124
mazowieckie,Warszawa,Warszawa,00-124
mazowieckie,Warszawa,Warszawa,00-124
mazowieckie,Warszawa,Warszawa,00-124
mazowieckie,Warszawa,Warszawa,00-124
mazowieckie,Warszawa,Warszawa,00-125
mazowieckie,Warszawa,Warszawa,00-126
mazowieckie,Warszawa,Warszawa,00-127
mazowieckie,Warszawa,Warszawa,00-130
