Województwo,Miejscowość,Kod pocztowy
mazowieckie,Warszawa,00-002
mazowieckie,Warszawa,00-003
mazowieckie,Warszawa,00-004
mazowieckie,Warszawa,00-005
mazowieckie,Warszawa,00-006
mazowieckie,Warszawa,00-007
mazowieckie,Warszawa,00-008
mazowieckie,Warszawa,00-009
mazowieckie,Warszawa,00-009
mazowieckie,Warszawa,00-010
mazowieckie,Warszawa,00-011
mazowieckie,Warszawa,00-011
mazowieckie,Warszawa,00-012
mazowieckie,Warszawa,00-013
mazowieckie,Warszawa,00-014
mazowieckie,Warszawa,00-015
mazowieckie,Warszawa,00-017
mazowieckie,Warszawa,00-018
mazowieckie,Warszawa,00-019
mazowieckie,Warszawa,00-020
mazowieckie,Warszawa,00-020
mazowieckie,Warszawa,00-021
mazowieckie,Warszawa,00-022
mazowieckie,Warszawa,00-023
mazowieckie,Warszawa,00-024
mazowieckie,Warszawa,00-025
mazowieckie,Warszawa,00-026
mazowieckie,Warszawa,00-026
mazowieckie,Warszawa,00-027
mazowieckie,Warszawa,00-028
mazowieckie,Warszawa,00-029
mazowieckie,Warszawa,00-030
mazowieckie,Warszawa,00-031
mazowieckie,Warszawa,00-032
mazowieckie,Warszawa,00-033
mazowieckie,Warszawa,00-034
mazowieckie,Warszawa,00-035
mazowieckie,Warszawa,00-036
mazowieckie,Warszawa,00-037
mazowieckie,Warszawa,00-038
mazowieckie,Warszawa,00-039
mazowieckie,Warszawa,00-040
mazowieckie,Warszawa,00-041
mazowieckie,Warszawa,00-042
mazowieckie,Warszawa,00-043
mazowieckie,Warszawa,00-044
mazowieckie,Warszawa,00-044
mazowieckie,Warszawa,00-046
mazowieckie,Warszawa,00-047
mazowieckie,Warszawa,00-048
mazowieckie,Warszawa,00-049
mazowieckie,Warszawa,00-050
mazowieckie,Warszawa,00-051
mazowieckie,Warszawa,00-052
mazowieckie,Warszawa,00-052
mazowieckie,Warszawa,00-054
mazowieckie,Warszawa,00-055
mazowieckie,Warszawa,00-056
mazowieckie,Warszawa,00-057
mazowieckie,Warszawa,00-058
mazowieckie,Warszawa,00-059
mazowieckie,Warszawa,00-061
mazowieckie,Warszawa,00-062
mazowieckie,Warszawa,00-062
mazowieckie,Warszawa,00-063
mazowieckie,Warszawa,00-064
mazowieckie,Warszawa,00-065
mazowieckie,Warszawa,00-066
mazowieckie,Warszawa,00-067
mazowieckie,Warszawa,00-067
mazowieckie,Warszawa,00-068
mazowieckie,Warszawa,00-068
mazowieckie,Warszawa,00-070
mazowieckie,Warszawa,00-071
mazowieckie,Warszawa,00-072
mazowieckie,Warszawa,00-073
mazowieckie,Warszawa,00-074
mazowieckie,Warszawa,00-075
mazowieckie,Warszawa,00-076
mazowieckie,Warszawa,00-077
mazowieckie,Warszawa,00-078
mazowieckie,Warszawa,00-079
mazowieckie,Warszawa,00-080
mazowieckie,Warszawa,00-082
mazowieckie,Warszawa,00-083
mazowieckie,Warszawa,00-084
mazowieckie,Warszawa,00-085
mazowieckie,Warszawa,00-086
mazowieckie,Warszawa,00-087
mazowieckie,Warszawa,00-088
mazowieckie,Warszawa,00-089
mazowieckie,Warszawa,00-090
mazowieckie,Warszawa,00-091
mazowieckie,Warszawa,00-092
mazowieckie,Warszawa,00-093
mazowieckie,Warszawa,00-094
mazowieckie,Warszawa,00-095
mazowieckie,Warszawa,00-095
mazowieckie,Warszawa,00-097
mazowieckie,Warszawa,00-098
mazowieckie,Warszawa,00-099
mazowieckie,Warszawa,00-100
mazowieckie,Warszawa,00-102
mazowieckie,Warszawa,00-103
mazowieckie,Warszawa,00-104
mazowieckie,Warszawa,00-105
mazowieckie,Warszawa,00-107
mazowieckie,Warszawa,00-108
mazowieckie,Warszawa,00-108
mazowieckie,Warszawa,00-109
mazowieckie,Warszawa,00-110
mazowieckie,Warszawa,00-110
mazowieckie,Warszawa,00-110
mazowieckie,Warszawa,00-112
mazowieckie,Warszawa,00-112
mazowieckie,Warszawa,00-113
mazowieckie,Warszawa,00-114
mazowieckie,Warszawa,00-115
mazowieckie,Warszawa,00-116
mazowieckie,Warszawa,00-116
